nullremote_url,video_duration,audio_only,reference_id,remote_stream_name,current_filename,type,controller_type,account_id,size,updated_at,uploaded_at,cdn_origin_id,progressive_download,name,id,complete,video_codec,video_container
46520,,,HLS_MANIFEST,DEFAULT,2019-11-07T01:05:42.288Z,6101267511001,https://bpmultihlsvods3258.ngcdn.telstra.com/hls_afl_h264_ts/994598/index.m3u8,,false,,6057984922001,0,2019-11-07T01:05:42.288Z,,false,,,true
https://bpmultihlsvods3258.ngcdn.telstra.com/hls_afl_h264_ts/994597/index.m3u8,24400,false,,,,HLS_MANIFEST,DEFAULT,6057984922001,0,2019-11-07T01:06:07.197Z,2019-11-07T01:06:07.197Z,,false,,6101267525001,true,,
https://bpmultihlsvods257.ngcdn.telstra.com/vod/ingest_afl_portadelaide_vod/2019/06/994597/VOD_Source/2019-06-17_04-07-38-7706/output_700kbps_360p.mp4,24400,false,,,,FULL_LENGTH,DEFAULT,6057984922001,0,2019-11-07T01:06:07.897Z,2019-11-07T01:06:07.897Z,,true,,6101267811001,true,H264,MP4
https://bpmultihlsvods3258.ngcdn.telstra.com/hls_afl_h264_ts/994595/index.m3u8,233800,false,,,,HLS_MANIFEST,DEFAULT,6057984922001,0,2019-11-07T01:04:48.743Z,2019-11-07T01:04:48.743Z,,false,,6101266171001,true,,
https://bpmultihlsvods257.ngcdn.telstra.com/vod/ingest_afl_portadelaide_vod/2019/06/994595/VOD_Source/2019-06-17_04-06-05-9581/output_700kbps_360p.mp4,233800,false,,,,FULL_LENGTH,DEFAULT,6057984922001,0,2019-11-07T01:04:49.328Z,2019-11-07T01:04:49.328Z,,true,,6101267616001,true,H264,MP4
28000,,,FULL_LENGTH,DEFAULT,2019-11-07T01:05:11.020Z,6101267621001,https://bpmultihlsvods257.ngcdn.telstra.com/vod/ingest_afl_portadelaide_vod/2019/06/994596/VOD_Source/2019-06-17_04-06-33-1300/output_700kbps_360p.mp4,H264,false,,6057984922001,0,2019-11-07T01:05:11.019Z,,true,MP4,,true
28000,,,HLS_MANIFEST,DEFAULT,2019-11-07T01:05:10.394Z,6101267794001,https://bpmultihlsvods3258.ngcdn.telstra.com/hls_afl_h264_ts/994596/index.m3u8,,false,,6057984922001,0,2019-11-07T01:05:10.394Z,,false,,,true
151360,,,FULL_LENGTH,DEFAULT,2019-11-07T01:06:23.230Z,6101266808001,https://bpmultihlsvods257.ngcdn.telstra.com/vod/ingest_afl_geelong_vod/2019/06/994523/VOD_Source/2019-06-17_10-39-07-3019/output_700kbps_360p.mp4,H264,false,,6057984922001,0,2019-11-07T01:06:23.230Z,,true,MP4,,true
151360,,,HLS_MANIFEST,DEFAULT,2019-11-07T01:06:22.658Z,6101267818001,https://bpmultihlsvods3258.ngcdn.telstra.com/hls_afl_h264_ts/994523/index.m3u8,,false,,6057984922001,0,2019-11-07T01:06:22.658Z,,false,,,true
https://bpmultihlsvods3258.ngcdn.telstra.com/hls_afl_h264_ts/994416/index.m3u8,140000,false,,,,HLS_MANIFEST,DEFAULT,6057984922001,0,2019-11-07T01:06:33.280Z,2019-11-07T01:06:33.280Z,,false,,6101266371001,true,,
https://bpmultihlsvods257.ngcdn.telstra.com/vod/ingest_aflfilms_vod/2019/06/994415/VOD_Source/994416/2019-06-15_11-38-53-0216/output_700kbps_360p.mp4,140000,false,,,,FULL_LENGTH,DEFAULT,6057984922001,0,2019-11-07T01:06:34.006Z,2019-11-07T01:06:34.006Z,,true,,6101266810001,true,H264,MP4
https://bpmultihlsvods3258.ngcdn.telstra.com/hls_afl_h264_ts/994409/index.m3u8,361000,false,,,,HLS_MANIFEST,DEFAULT,6057984922001,0,2019-11-07T01:06:18.518Z,2019-11-07T01:06:18.518Z,,false,,6101266806001,true,,
https://bpmultihlsvods257.ngcdn.telstra.com/vod/ingest_aflfilms_vod/2019/06/994403/VOD_Source/994409/2019-06-15_11-15-22-5373/output_700kbps_360p.mp4,361000,false,,,,FULL_LENGTH,DEFAULT,6057984922001,0,2019-11-07T01:06:19.111Z,2019-11-07T01:06:19.111Z,,true,,6101267643001,true,H264,MP4
423000,,,FULL_LENGTH,DEFAULT,2019-11-07T01:05:56.437Z,6101267517001,https://bpmultihlsvods257.ngcdn.telstra.com/vod/ingest_aflfilms_vod/2019/06/994357/VOD_Source/994368/2019-06-15_08-17-53-5998/output_700kbps_360p.mp4,H264,false,,6057984922001,0,2019-11-07T01:05:56.436Z,,true,MP4,,true
423000,,,HLS_MANIFEST,DEFAULT,2019-11-07T01:05:55.779Z,6101267636001,https://bpmultihlsvods3258.ngcdn.telstra.com/hls_afl_h264_ts/994368/index.m3u8,,false,,6057984922001,0,2019-11-07T01:05:55.779Z,,false,,,true
https://bpmultihlsvods3258.ngcdn.telstra.com/hls_afl_h264_ts/994359/index.m3u8,423000,false,,,,HLS_MANIFEST,DEFAULT,6057984922001,0,2019-11-07T01:03:19.819Z,2019-11-07T01:03:19.819Z,,false,,6101266599001,true,,
https://bpmultihlsvods257.ngcdn.telstra.com/vod/ingest_aflfilms_vod/2019/06/994357/VOD_Source/994359/2019-06-15_07-50-22-7873/output_700kbps_360p.mp4,423000,false,,,,FULL_LENGTH,DEFAULT,6057984922001,0,2019-11-07T01:03:21.313Z,2019-11-07T01:03:21.312Z,,true,,6101267173001,true,H264,MP4
https://bpmultihlsvods3258.ngcdn.telstra.com/hls_afl_h264_ts/994354/index.m3u8,23000,false,,,,HLS_MANIFEST,DEFAULT,6057984922001,0,2019-11-07T01:06:48.395Z,2019-11-07T01:06:48.395Z,,false,,6101267540001,true,,
https://bpmultihlsvods257.ngcdn.telstra.com/vod/ingest_aflfilms_vod/2019/06/994346/VOD_Source/994354/2019-06-15_07-30-53-3341/output_700kbps_360p.mp4,23000,false,,,,FULL_LENGTH,DEFAULT,6057984922001,0,2019-11-07T01:06:49.130Z,2019-11-07T01:06:49.130Z,,true,,6101267647001,true,H264,MP4
https://bpmultihlsvods3258.ngcdn.telstra.com/hls_afl_h264_ts/994262/index.m3u8,374000,false,,,,HLS_MANIFEST,DEFAULT,6057984922001,0,2019-11-07T01:05:22.551Z,2019-11-07T01:05:22.551Z,,false,,6101266786001,true,,
